,element,Tc,Tc_mean
10470,K0.8Fe2Se0.42S1.58,1.9,1.9
10471,K0.2Fe2S2,1.8,1.8
10472,K0.65Fe1.41Se2,32.0,32.0
10473,Nb0.7Fe1.55Se1.01S0.99,23.5,23.5
10474,Nb0.76Fe1.61Se0.96S1.04,18.0,18.0
10475,Li0.99Fe1.01As1,14.0,14.0
10476,Li0.98Fe1.02As1,4.61,4.61
10477,Li1Fe0.975Co0.025As1,13.0,13.4
10478,Li1Fe0.95Co0.05As1,9.78,10.29
10479,Li1Fe0.925Co0.075As1,7.66,7.66
10480,Li1Fe0.99Ni0.01As1,13.35,13.35
10481,Li1Fe0.98Ni0.02As1,10.58,10.58
